Date,BNF Straddle_gross_PnL,Brokerage,TransactionCharges,ClearingCharges,STT,GST,SEBI,StampDuty,TotalCharges,net_PNL,net_rets,Time,PNL,cum_pnl,month,Date
2021-08-20,1563.3933545009,80,16.98,10.19,7.13,19.29,0.07,2.04,135.69,1427.7033545009,0.4759011182,2021-08-20,1563.3933545009,254071.262695939,"Aug,2021",2021-08-20
2021-08-23,549.7135998433,80,13.03,7.82,5.47,18.15,0.05,1.56,126.1,423.6135998433,0.1412045333,2021-08-23,549.7135998433,254620.976295783,"Aug,2021",2021-08-23
2021-08-24,1226.320550699,80,12.14,7.28,5.1,17.9,0.05,1.46,123.92,1102.400550699,0.3674668502,2021-08-24,1226.320550699,255847.296846482,"Aug,2021",2021-08-24
2021-08-25,777.2542703982,80,9.37,5.62,3.93,17.1,0.04,1.12,117.18,660.0742703982,0.2200247568,2021-08-25,777.2542703982,256624.55111688,"Aug,2021",2021-08-25
2021-08-26,1072.9393073961,80,6.44,3.86,2.7,16.25,0.03,0.77,110.06,962.8793073961,0.3209597691,2021-08-26,1072.9393073961,257697.490424276,"Aug,2021",2021-08-26
2021-08-27,-1676.2783834142,80,15.62,9.37,6.56,18.9,0.06,1.87,132.38,-1808.6583834142,-0.6028861278,2021-08-27,-1676.2783834142,256021.212040862,"Aug,2021",2021-08-27
2021-08-30,1770.5710632682,80,12.87,7.72,5.41,18.11,0.05,1.54,125.71,1644.8610632682,0.5482870211,2021-08-30,1770.5710632682,257791.78310413,"Aug,2021",2021-08-30
2021-08-31,-144.5217091734,80,12.75,7.65,5.36,18.07,0.05,1.53,125.41,-269.9317091734,-0.0899772364,2021-08-31,-144.5217091734,257647.261394957,"Aug,2021",2021-08-31
2021-09-01,590.5967633651,80,10.6,6.36,4.45,17.45,0.04,1.27,120.18,470.4167633651,0.1568055878,2021-09-01,590.5967633651,258237.858158322,"Sep,2021",2021-09-01
2021-09-02,-933.429498405,80,5.87,3.52,2.47,16.09,0.02,0.7,108.69,-1042.119498405,-0.3473731661,2021-09-02,-933.429498405,257304.428659917,"Sep,2021",2021-09-02
2021-09-03,948.1481539575,80,17.19,10.31,7.22,19.35,0.07,2.06,136.2,811.9481539575,0.2706493847,2021-09-03,948.1481539575,258252.576813874,"Sep,2021",2021-09-03
2021-09-06,1159.5010490106,80,14.47,8.68,6.08,18.57,0.06,1.74,129.58,1029.9210490106,0.3433070163,2021-09-06,1159.5010490106,259412.077862885,"Sep,2021",2021-09-06
2021-09-07,-2300.444000254,80,12.56,7.54,5.27,18.02,0.05,1.51,124.94,-2425.384000254,-0.8084613334,2021-09-07,-2300.444000254,257111.633862631,"Sep,2021",2021-09-07
2021-09-08,545.2242704368,80,9.91,5.94,4.16,17.25,0.04,1.19,118.5,426.7242704368,0.1422414235,2021-09-08,545.2242704368,257656.858133068,"Sep,2021",2021-09-08
2021-09-09,1787.3397376029,80,6.19,3.71,2.6,16.18,0.02,0.74,109.44,1677.8997376029,0.5592999125,2021-09-09,1787.3397376029,259444.197870671,"Sep,2021",2021-09-09
2021-09-13,1453.5719688438,80,14.34,8.6,6.02,18.53,0.06,1.72,129.27,1324.3019688438,0.4414339896,2021-09-13,1453.5719688438,260897.769839514,"Sep,2021",2021-09-13
2021-09-14,-100.9199417698,80,10.3,6.18,4.33,17.37,0.04,1.24,119.44,-220.3599417698,-0.0734533139,2021-09-14,-100.9199417698,260796.849897745,"Sep,2021",2021-09-14
2021-09-15,1088.9682904388,80,8.32,4.99,3.5,16.8,0.03,1,114.64,974.3282904388,0.3247760968,2021-09-15,1088.9682904388,261885.818188183,"Sep,2021",2021-09-15
2021-09-16,-770.4283025618,80,4.88,2.93,2.05,15.8,0.02,0.59,106.26,-876.6883025618,-0.2922294342,2021-09-16,-770.4283025618,261115.389885622,"Sep,2021",2021-09-16
2021-09-17,-3164.0598976387,80,19.85,11.91,8.34,20.12,0.08,2.38,142.68,-3306.7398976387,-1.1022466325,2021-09-17,-3164.0598976387,257951.329987983,"Sep,2021",2021-09-17
2021-09-20,-2793.0637549616,80,15.53,9.32,6.52,18.87,0.06,1.86,132.16,-2925.2237549616,-0.975074585,2021-09-20,-2793.0637549616,255158.266233021,"Sep,2021",2021-09-20
2021-09-21,-1687.9937493368,80,15.94,9.57,6.7,18.99,0.06,1.91,133.17,-1821.1637493368,-0.6070545831,2021-09-21,-1687.9937493368,253470.272483685,"Sep,2021",2021-09-21
2021-09-22,1377.9125094254,80,11.88,7.13,4.99,17.82,0.05,1.43,123.28,1254.6325094254,0.4182108365,2021-09-22,1377.9125094254,254848.18499311,"Sep,2021",2021-09-22
2021-09-23,2497.3594808582,80,7.41,4.45,3.11,16.53,0.03,0.89,112.42,2384.9394808582,0.794979827,2021-09-23,2497.3594808582,257345.544473968,"Sep,2021",2021-09-23
2021-09-24,1379.5624260767,80,19.88,11.93,8.35,20.12,0.08,2.39,142.74,1236.8224260767,0.412274142,2021-09-24,1379.5624260767,258725.106900045,"Sep,2021",2021-09-24
2021-09-27,-1351.1474204035,80,17.25,10.35,7.24,19.37,0.07,2.07,136.34,-1487.4874204035,-0.4958291401,2021-09-27,-1351.1474204035,257373.959479641,"Sep,2021",2021-09-27
2021-09-28,602.8058546119,80,15.5,9.3,6.51,18.86,0.06,1.86,132.09,470.7158546119,0.1569052849,2021-09-28,602.8058546119,257976.765334253,"Sep,2021",2021-09-28
2021-09-29,2454.6645369139,80,12.9,7.74,5.42,18.12,0.05,1.55,125.77,2328.8945369139,0.776298179,2021-09-29,2454.6645369139,260431.429871167,"Sep,2021",2021-09-29
2021-09-30,-2005.4060526324,80,8.92,5.35,3.75,16.97,0.04,1.07,116.09,-2121.4960526324,-0.7071653509,2021-09-30,-2005.4060526324,258426.023818535,"Sep,2021",2021-09-30
2021-10-01,1007.2179611888,80,23.44,14.07,9.85,21.15,0.09,2.81,151.41,855.8079611887,0.2852693204,2021-10-01,1007.2179611888,259433.241779724,"Oct,2021",2021-10-01
2021-10-04,1763.3919992393,80,17.36,10.41,7.29,19.4,0.07,2.08,136.62,1626.7719992393,0.5422573331,2021-10-04,1763.3919992393,261196.633778963,"Oct,2021",2021-10-04
2021-10-05,2645.6762392138,80,14.14,8.48,5.94,18.47,0.06,1.7,128.79,2516.8862392138,0.8389620797,2021-10-05,2645.6762392138,263842.310018177,"Oct,2021",2021-10-05
2021-10-06,-2254.4294364861,80,10.28,6.17,4.32,17.36,0.04,1.23,119.39,-2373.8194364861,-0.7912731455,2021-10-06,-2254.4294364861,261587.880581691,"Oct,2021",2021-10-06
2021-10-07,2714.4043138105,80,6.43,3.86,2.7,16.25,0.03,0.77,110.03,2604.3743138105,0.8681247713,2021-10-07,2714.4043138105,264302.284895501,"Oct,2021",2021-10-07
2021-10-08,-2009.3852778311,80,19.39,11.63,8.14,19.98,0.08,2.33,141.55,-2150.9352778311,-0.7169784259,2021-10-08,-2009.3852778311,262292.89961767,"Oct,2021",2021-10-08
2021-10-11,-2.3618238558,80,14.74,8.84,6.19,18.65,0.06,1.77,130.25,-132.6118238558,-0.0442039413,2021-10-11,-2.3618238558,262290.537793814,"Oct,2021",2021-10-11
2021-10-12,-3062.4477902653,80,13.7,8.22,5.76,18.35,0.05,1.64,127.73,-3190.1777902653,-1.0633925968,2021-10-12,-3062.4477902653,259228.090003549,"Oct,2021",2021-10-12
2021-10-13,-237.059513618,80,10.84,6.51,4.55,17.52,0.04,1.3,120.77,-357.829513618,-0.1192765045,2021-10-13,-237.059513618,258991.030489931,"Oct,2021",2021-10-13
2021-10-14,316.2086782431,80,6.36,3.82,2.67,16.23,0.03,0.76,109.87,206.3386782431,0.0687795594,2021-10-14,316.2086782431,259307.239168174,"Oct,2021",2021-10-14
